female,married,spouse_rated,age,X_factor_bi,X_factor_pd,X_factor_comp,X_factor_coll,X_factor_loan,X_factor_med,X_factor_pip,X_factor_umbi,X_factor_umpd,X_factor_rent,X_factor_roadside,duplicate
1,1,1,71,1.02,1.04,0.61,0.97,0.61,1.02,0.83,1.01,0.97,1.07,1.46,0
1,1,0,72,1.44,1.3,0.69,1.25,0.69,1.25,1.03,1.28,1.25,1.38,1.88,0
1,1,1,72,1.06,1.06,0.6,1,0.6,1.05,0.83,1,1,1.1,1.5,0
1,1,0,73,1.49,1.33,0.68,1.29,0.68,1.24,1.03,1.27,1.29,1.42,1.94,0
1,1,1,73,1.1,1.08,0.59,1.03,0.59,1.09,0.83,0.99,1.03,1.13,1.55,0
1,1,0,74,1.53,1.36,0.67,1.33,0.67,1.24,1.02,1.23,1.33,1.46,2,0
1,1,1,74,1.15,1.1,0.58,1.05,0.58,1.13,0.83,0.99,1.05,1.16,1.58,0
1,1,0,75,1.55,1.46,0.53,1.35,0.53,1.26,1.04,1.15,1.35,1.49,2.03,0
1,1,1,75,1.48,1.33,0.46,1.21,0.46,1.2,0.89,0.91,1.21,1.33,1.82,0
1,1,0,77,1.62,1.56,0.53,1.37,0.53,1.28,1.07,1.15,1.37,1.51,2.06,0
1,1,1,77,1.66,1.62,0.46,1.35,0.46,1.2,0.89,0.91,1.35,1.49,2.03,0
1,1,0,79,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,79,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,81,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,81,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,83,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,83,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,85,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,85,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,87,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,87,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,89,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
1,1,1,89,1.66,1.95,0.46,1.51,0.46,1.2,0.89,0.91,1.51,1.66,2.27,0
1,1,0,91,1.68,1.68,0.53,1.4,0.53,1.3,1.07,1.15,1.4,1.54,2.1,0
